time,47-x,47-y,47-z,46-x,46-y,46-z,41-x,41-y,41-z,55-x,55-y,55-z,49-x,49-y,49-z,27-x,27-y,27-z,43-x,43-y,43-z,51-x,51-y,51-z,38-x,38-y,38-z,52-x,52-y,52-z,44-x,44-y,44-z,42-x,42-y,42-z,45-x,45-y,45-z,14-x,14-y,14-z,53-x,53-y,53-z,50-x,50-y,50-z,48-x,48-y,48-z,40-x,40-y,40-z341486.771,2.26,2,-4,2.26,2,-2,2.26,1,-4,1,2,-4,-0.33,2,-4,2.26,1,-2,-0.33,1,-4,2.26,2,0,1,1,-2,-0.33,2,-2,2.26,1,0,-0.33,1,0,1,1,0,-0.33,1,-2,1,2,0,-0.33,2,0,1,2,-2,1,1,-4
341486.818,2.26,1.99608,-4,2.26,1.99608,-2,2.26,0.99608,-4,1,1.99608,-4,-0.33,1.99608,-4,2.26,0.99608,-2,-0.33,0.99608,-4,2.26,1.99608,0,1,0.99608,-2,-0.33,1.99608,-2,2.26,0.99608,0,-0.33,0.99608,0,1,0.99608,0,-0.33,0.99608,-2,1,1.99608,0,-0.33,1.99608,0,1,1.99608,-2,1,0.99608,-4
341486.927,2.26,1.98824,-4,2.26,1.98824,-2,2.26,0.98824,-4,1,1.98824,-4,-0.33,1.98824,-4,2.26,0.98824,-2,-0.33,0.98824,-4,2.26,1.98824,0,1,0.98824,-2,-0.33,1.98824,-2,2.26,0.98824,0,-0.33,0.98824,0,1,0.98824,0,-0.33,0.98824,-2,1,1.98824,0,-0.33,1.98824,0,1,1.98824,-2,1,0.98824,-4
341486.927,2.26,1.97648,-4,2.26,1.97648,-2,2.26,0.97648,-4,1,1.97648,-4,-0.33,1.97648,-4,2.26,0.97648,-2,-0.33,0.97648,-4,2.26,1.97648,0,1,0.97648,-2,-0.33,1.97648,-2,2.26,0.97648,0,-0.33,0.97648,0,1,0.97648,0,-0.33,0.97648,-2,1,1.97648,0,-0.33,1.97648,0,1,1.97648,-2,1,0.97648,-4
341486.927,2.26,1.9608,-4,2.26,1.9608,-2,2.26,0.9608,-4,1,1.9608,-4,-0.33,1.9608,-4,2.26,0.9608,-2,-0.33,0.9608,-4,2.26,1.9608,0,1,0.9608,-2,-0.33,1.9608,-2,2.26,0.9608,0,-0.33,0.9608,0,1,0.9608,0,-0.33,0.9608,-2,1,1.9608,0,-0.33,1.9608,0,1,1.9608,-2,1,0.9608,-4
341486.927,2.26,1.9412,-4,2.26,1.9412,-2,2.26,0.9412,-4,1,1.9412,-4,-0.33,1.9412,-4,2.26,0.9412,-2,-0.33,0.9412,-4,2.26,1.9412,0,1,0.9412,-2,-0.33,1.9412,-2,2.26,0.9412,0,-0.33,0.9412,0,1,0.9412,0,-0.33,0.9412,-2,1,1.9412,0,-0.33,1.9412,0,1,1.9412,-2,1,0.9412,-4
341486.958,2.26,1.91768,-4,2.26,1.91768,-2,2.26,0.91768,-4,1,1.91768,-4,-0.33,1.91768,-4,2.26,0.91768,-2,-0.33,0.91768,-4,2.26,1.91768,0,1,0.91768,-2,-0.33,1.91768,-2,2.26,0.91768,0,-0.33,0.91768,0,1,0.91768,0,-0.33,0.91768,-2,1,1.91768,0,-0.33,1.91768,0,1,1.91768,-2,1,0.91768,-4
341486.958,2.26,1.89024,-4,2.26,1.89024,-2,2.26,0.89024,-4,1,1.89024,-4,-0.33,1.89024,-4,2.26,0.89024,-2,-0.33,0.89024,-4,2.26,1.89024,0,1,0.89024,-2,-0.33,1.89024,-2,2.26,0.89024,0,-0.33,0.89024,0,1,0.89024,0,-0.33,0.89024,-2,1,1.89024,0,-0.33,1.89024,0,1,1.89024,-2,1,0.89024,-4
341486.99,2.26,1.85888,-4,2.26,1.85888,-2,2.26,0.85888,-4,1,1.85888,-4,-0.33,1.85888,-4,2.26,0.85888,-2,-0.33,0.85888,-4,2.26,1.85888,0,1,0.85888,-2,-0.33,1.85888,-2,2.26,0.85888,0,-0.33,0.85888,0,1,0.85888,0,-0.33,0.85888,-2,1,1.85888,0,-0.33,1.85888,0,1,1.85888,-2,1,0.85888,-4
341487.021,2.26,1.8236,-4,2.26,1.8236,-2,2.26,0.8236001,-4,1,1.8236,-4,-0.33,1.8236,-4,2.26,0.8236001,-2,-0.33,0.8236001,-4,2.26,1.8236,0,1,0.8236001,-2,-0.33,1.8236,-2,2.26,0.8236001,0,-0.33,0.8236001,0,1,0.8236001,0,-0.33,0.8236001,-2,1,1.8236,0,-0.33,1.8236,0,1,1.8236,-2,1,0.8236001,-4
341487.021,2.26,1.7844,-4,2.26,1.7844,-2,2.26,0.7844,-4,1,1.7844,-4,-0.33,1.7844,-4,2.26,0.7844,-2,-0.33,0.7844,-4,2.26,1.7844,0,1,0.7844,-2,-0.33,1.7844,-2,2.26,0.7844,0,-0.33,0.7844,0,1,0.7844,0,-0.33,0.7844,-2,1,1.7844,0,-0.33,1.7844,0,1,1.7844,-2,1,0.7844,-4
